Comp,Epsilon,Material ID,cm0,cm1,cm2,AvgElectron,sTot,pTot,dTot,fTot,NAtom,AvgIonicRad,DevIonicRad,VolumeAverageMass,AverageMass,DevMass,RedMass,AvgENeg,DiffENeg,DevENeg,AvgDipole,DevDipole,DiffDipole,TotalVolume,totalAtoms,density,OmegaAvg,OmegaDev,OmegaMax,OmegaMin,eHull,formE,gap,symm,lattA,lattB,lattC,lattAlpha,lattBeta,lattGamma
NiWO4,17.4,mp-25094,17182.31505,13611.43621,1715.464569,3.936362198,2,2.666666667,2,2.333333333,12,110.1666667,35.2629015,527.7396573,51.08823333,61.3811688,3.669821339,2.895,1.74,0.773126768,24.51,28.11168144,69.76,0.5808345,6,7.57569214,0.008456386,0.002596151,0.010532426,0.003413248,0,-1.803176066,2.8991,Monoclinic,4.668492071,5.021328752,5.73270034,89.99996563,89.99994493,90.5945546
P,4.1,mp-568348,3405.062771,1202.979204,1139.037172,4.8828125,2,3,0,0,84,44,0,147.6944065,30.973762,0,30.973762,2.19,0,0,24.93,0,0,0.2097152,1,2.149089864,0.001468927,0,0.001468927,0.001468927,0,0,1.8449,Monoclinic,9.26050591,9.290484327,23.60402364,98.13418361,90,90
PbBr2,30,mp-862868,21196.75388,18386.988,3014.157776,5.029729498,2,4,10,4.666666667,6,163.3333333,46.19764304,449.2564845,122.336,60.00790988,33.49377873,2.573333333,1.16,0.546829244,30.23333333,11.92653438,25.3,0.8169231,3,5.137048512,0.001581597,0.000360222,0.001876855,0.000936701,0,-0.93577979,2.5709,Tetragonal,7.17083602,7.17083602,4.61425229,90,90,90
PbCO3,18.6,mp-19893,24170.09886,18273.30166,18249.86286,3.796817792,2,3.2,2,2.8,20,99,55.38591879,385.2023859,53.4416,76.89471383,3.628513003,2.934,1.64,0.663554067,16.67,16.3267829,41.86,0.6936821,5,6.271761057,0.008251995,0.002689779,0.010592209,0.002845895,0,-1.827885809,3.3293,Orthorhombic,5.22603663,6.28282466,8.61872605,90,90,90
PbCl2,33.5,mp-862871,20948.534,18328.81615,575.1591279,4.414271732,2,4,3.333333333,4.666666667,6,153.3333333,39.12657523,387.0713978,92.7,80.96372645,16.32819829,2.706666667,1.36,0.641110148,32.32,10.45103823,22.17,0.7184721,3,4.436946764,0.002603119,0.000728525,0.003206917,0.001341572,0,-1.551976562,3.0963,Tetragonal,6.81523095,6.81523095,4.48171299,90,90,90
HfPbO3,390,mp-22734,37852.85953,19795.24515,19553.39493,3.436181231,2,2.8,2.4,5.6,40,112.2,30.65550522,400.0539448,86.7374,87.11089634,5.052022467,2.684,2.14,0.939310385,34.364,40.68749272,103.76,1.0840713,5,10.057653,0.00627203,0.002780263,0.008976731,0.002147868,0.008007641,-3.010793841,2.7161,Orthorhombic,5.89738698,8.2418127,11.78521845,90,90,90
PbI2,20.8,mp-22883,19877.38054,7202.740462,6262.599888,4.555337619,2,4,10,4.666666667,3,179.3333333,57.51135154,462.8924029,153.6696467,37.85167584,48.57636994,2.373333333,0.86,0.405407888,38.76666667,5.89255651,12.5,0.9959311,3,5.11264348,0.001109425,0.000178497,0.001253543,0.000777805,0,-0.675798517,2.4224,Trigonal,8.328713257,8.328713254,8.328713249,32.66988071,32.66988077,32.66988071
MoPbO4,34,mp-25054,21443.02524,17968.43604,4244.391232,3.251488928,1.833333333,3,2.5,2.333333333,12,117.8333333,25.68019124,401.5379679,61.191,71.52631639,3.769829648,2.953333333,1.64,0.696052361,23.42666667,26.74458865,67.26,0.9143494,6,6.480484492,0.008137887,0.002804289,0.010391781,0.002792045,0,-2.003353949,2.9184,Tetragonal,5.529386792,5.528623089,7.290963203,112.2749732,112.2844575,89.98551337
Pb(NO3)2,16.8,mp-20820,23342.4001,18408.312,18408.312,3.098443441,2,3.555555556,1.111111111,1.555555556,36,133.3333333,13.27487183,386.7218884,36.80088889,60.25067201,1.913379607,3.168888889,1.64,0.510782503,10.41555556,13.00564588,41.86,0.8564501,9,4.309476379,0.012487357,0.002984516,0.014586473,0.003919067,0,-1.168448839,3.5995,Cubic,7.99213065,7.99213065,7.99213065,90,90,90
PbO,25.9,mp-19921,21411.29917,17791.28808,81.22205807,5.493081459,2,3,5,7,4,116.5,18.5,396.1643592,111.5995,95.6005,14.85218482,2.62,1.64,0.82,26.17,20.93,41.86,0.5634,2,8.470751792,0.003039012,0.001613198,0.00523547,0.001406656,0,-1.488116003,1.4695,Tetragonal,4.06248076,4.06248076,5.30233896,90,90,90
PbSO4,14.3,mp-3472,24141.05746,18294.99182,18172.98374,3.371080288,2,3.666666667,1.666666667,2.333333333,24,137,24.98666311,356.50929,50.54266667,70.304325,3.496095251,3.023333333,1.64,0.630810766,15.49833333,15.85641449,41.86,0.8506258,6,6.032096928,0.008584661,0.002783889,0.010790939,0.002899289,0,-2.041720157,3.987,Orthorhombic,5.5354931,7.07806803,8.52292265,90,90,90
Ta2PbO6,300,mp-771957,31867.4164,19333.65422,18039.82294,2.884311,2,2.888888889,1.777777778,4.666666667,36,116.8888889,26.57251899,488.2101131,73.89886222,82.1939049,2.558182011,2.826666667,1.94,0.871218814,28.28222222,34.43544485,82.76,1.3623023,9,8.87944745,0.009717652,0.003568475,0.012614939,0.003389358,0,-3.021545149,2.6067,Orthorhombic,11.19548217,7.73606446,5.74436537,90,90,90
TePb,400,mp-19717,19722.23004,6438.943093,0,4.823607498,2,3,10,7,2,159.5,61.5,354.0843171,167.4,39.8,78.96869773,1.95,0.3,0.15,42.05,5.05,10.1,0.9455375,2,7.854950499,0.0006647,4.52E-05,0.000720688,0.000610036,0,-0.413971445,0.8072,Cubic,4.643035649,4.643035649,4.64303565,59.99999992,59.99999992,59.99999995
TiPbO3,200,mp-20459,19618.71539,848.0579616,78.84590932,3.268641888,2,2.8,2.4,2.8,5,117.8,21.40467239,323.7941775,60.6128,74.32554887,4.689789341,2.732,1.9,0.871008611,35.432,42.65509414,109.1,0.9359773,5,7.320137056,0.006640463,0.002762199,0.009316959,0.002503263,0,-2.747830816,1.8161,Tetragonal,3.87235109,3.87235109,4.58475851,90,90,90
PbWO4,23.6,mp-540719,27603.3983,18752.997,18692.09013,3.599642991,2,3,2.333333333,4.666666667,24,117.3333333,26.63748403,491.3414136,75.83933333,84.8952597,3.841995722,2.876666667,1.74,0.797196477,23.84333333,27.51427852,69.76,0.9261096,6,7.907806507,0.007990556,0.00285558,0.010293722,0.002765698,0,-2.059811439,3.1122,Monoclinic,5.1079754,5.686931925,13.19868404,94.52725046,90,90
Rb2CO3,4.87,mp-4138,5280.620212,2808.927181,2744.281669,1.11657937,1.666666667,2.333333333,0,0,24,116.8333333,56.34245488,71.9822039,38.4906,33.24780711,3.399402308,2.418333333,2.62,1.173178257,112.3083333,146.1116943,313.56,3.208343,6,3.308963678,0.006547284,0.003849631,0.010943332,0.001400358,0,-2.101758957,3.2778,Monoclinic,5.976679493,7.652013308,10.18789235,90,90,95.75614907
RbCl,4.91,mp-23295,2916.005451,434.4998417,0,1.573016247,1.5,2.5,0,0,2,166.5,14.5,74.79914993,60.4589,25.0089,25.05696854,1.99,2.34,1.17,171.865,146.935,293.87,1.6165665,2,2.671979163,0.00141992,0.00086674,0.002588765,0.000515794,0,-2.242800782,4.8393,Cubic,4.736715864,4.736715865,4.73671586,60.00000003,60.00000003,60.00000002
RbF,5.91,mp-11718,2906.505376,92.73863015,0,1.609651561,1.5,2.5,0,0,2,140.25,11.75,67.66741243,52.23310158,33.23469842,15.54332093,2.4,3.16,1.58,161.25,157.55,315.1,1.5438185,2,3.671083029,0.002918097,0.002422701,0.0062774,0.00065489,0,-2.896491538,5.5244,Cubic,4.058029692,4.058029696,4.05802969,59.99999996,59.99999993,59.99999994
RbHSO4,6.4,mp-707377,4994.506024,2800.551183,2748.531172,1.555523209,1.714285714,2.857142857,0,0,56,119.7142857,66.52972329,96.6138945,26.07597143,25.62861822,0.778227712,2.765714286,2.62,0.922649247,52.74244392,108.8332483,314.2928926,1.8892914,7,2.576310501,0.017067993,0.006588352,0.022871651,0.002926759,0.019533022,-2.051501297,4.6737,Monoclinic,14.8960072,4.81949852,14.96618805,90,118.8345573,90
RbP(HO2)2,42,mp-23667,3302.429827,2584.295762,467.5647978,1.434633043,1.625,2.375,0,0,16,82.5,76.13967428,93.88020163,22.80669525,25.320101,0.438956838,2.64625,2.62,0.898734353,46.71302686,103.0464387,314.2928926,1.9434722,8,2.709811797,0.022101969,0.008327034,0.030453692,0.00389699,0,-2.242482319,5.2329,Orthorhombic,6.653561133,6.653561136,6.60119464,108.0008058,108.0008058,112.7557603
RbI,4.94,mp-22903,6942.255725,2833.812326,0,2.264363122,1.5,2.5,5,0,2,186,34,120.9894343,106.186135,20.718335,51.07185538,1.74,1.84,0.92,176.7,142.1,284.2,1.755296,2,3.359967112,0.000756918,0.000355069,0.001222534,0.000361285,0,-1.516415315,3.777,Cubic,5.29471124,5.294711245,5.29471124,60.00000003,60,60.00000003
RbNO3,30,mp-5073,5554.427063,2690.976174,2689.217564,1.687520628,1.8,3,0,0,45,140.6,7.11617875,87.49151244,29.49436,27.99735177,3.695424484,2.836,2.62,1.019835281,68.424,125.1913367,313.56,1.6855555,5,2.926984182,0.007854286,0.003242164,0.010495876,0.001343099,0,-1.493736432,3.2401,Trigonal,10.74204847,10.74204847,7.53490842,90,90,120
S,3.75,mp-96,2048.451471,659.7455868,608.6905688,5.412152729,2,4,0,0,32,184,0,156.5136989,32.06,0,32.06,2.58,0,0,24.93,0,0,0.2048383,1,1.477752744,0.001579463,0,0.001579463,0.001579463,0,0,2.765,Monoclinic,9.248054106,9.721096757,13.64206067,90,90,109.9284229
H4CSN2,3,mp-23930,655.1274034,356.7615537,352.3013717,2.176746235,1.5,1.5,0,0,32,39.5,93.43848244,120.2198031,9.514625,10.27338408,0.236659042,2.50125,0.84,0.344979619,9.836053712,7.630352616,20.42289258,0.6331486,8,1.281348666,0.026105046,0.002328757,0.02754688,0.018383559,0,-0.487708204,3.6175,Orthorhombic,5.74980095,7.92450374,8.66005262,90,90,90
Sb2O3,12.8,mp-2136,10574.25081,6293.13623,6248.12962,3.291088291,2,3.6,4,0,20,111.4,28.90397896,328.9059421,58.3034,51.81209694,4.90346367,2.884,1.39,0.680958148,20.024,18.10662818,36.96,0.8863233,5,5.355849551,0.006413146,0.002643004,0.009111699,0.0028755,0,-1.767939256,2.2239,Orthorhombic,5.19291536,5.51549052,12.62266246,90,90,90
Sb2S3,15,mp-2809,10279.0881,6343.348322,6006.992205,2.601527934,2,3.6,4,0,20,140.8,52.90897844,239.4866455,67.94,43.94384599,9.090884024,2.368,0.53,0.259645913,31.838,8.460537572,17.27,1.4184507,5,4.278224775,0.002637588,0.000340162,0.002966116,0.002111844,0,-0.65299885,1.2828,Orthorhombic,3.8703401,11.23080103,12.13389725,90,90,90
Sb2Se3,110,mp-2160,11888.2076,6520.256776,6089.699633,3.096352518,2,3.6,10,0,20,149.2,59.76754972,295.2630014,96.0866,20.96224332,18.37749361,2.35,0.5,0.244948974,32.624,7.818771259,15.96,1.6271358,5,5.341824009,0.001732295,0.000156442,0.001881412,0.001485326,0,-0.260578215,0.7564,Orthorhombic,4.0299374,11.54142749,12.8429457,90,90,90
SbSI,25,mp-23041,10979.15963,6647.721384,6594.937069,3.890626645,2,4,6.666666667,0,12,160,61.18823416,335.4725903,93.57482333,43.54822239,21.14865235,2.43,0.61,0.270678161,33.91,7.067309719,17.27,0.836803,3,4.662201181,0.001734781,0.000204723,0.001944687,0.001384597,0,-0.538381871,1.6354,Orthorhombic,4.11074164,9.01978266,10.78672958,90,90,90
Se,11,mp-570481,14313.45547,4073.098675,4029.104216,7.636035483,2,4,10,0,64,198,0,287.7951895,78.971,0,78.971,2.55,0,0,26.24,0,0,0.2744,1,3.43840695,0.000907597,0,0.000907597,0.000907597,0,0,1.6545,Monoclinic,10.15386339,15.30902371,15.73918137,90,94.04286936,90
Si,11.7,mp-149,364.3982143,198.8596778,0,4.170317292,2,2,0,0,2,26,0,122.1103946,28.085,0,28.085,1.9,0,0,37.31,0,0,0.2299968,1,2.281194137,0.001393319,0,0.001393319,0.001393319,0,0,0.6119,Cubic,3.866974623,3.866974624,3.86697462,60.00000003,60.00000002,60.00000002
Si3N4,4.2,mp-988,715.606543,248.5772584,241.2500664,2.136524863,2,2.571428571,0,0,14,94.57142857,59.38459912,140.0777021,20.04042857,6.96680322,2.548484365,2.551428571,1.14,0.564153692,20.33285714,14.702637,29.71,1.0014656,7,3.134177237,0.00677096,0.001536113,0.008394464,0.004625374,0,-1.312374812,4.2451,Hexagonal,7.66030722,7.660307217,2.92508486,90,90,120
SiO,5.8,mp-32761,690.3386174,281.4629037,281.4626412,4.406874778,2,3,0,0,12,80.5,54.5,171.2270639,22.042,6.043,10.19263032,2.67,1.54,0.77,21.275,16.035,32.07,0.2574593,2,2.580199827,0.004102295,0.001663636,0.006319864,0.002312835,0.402564582,-2.060920436,0,Hexagonal,4.53295967,4.532959578,9.566267,90,90,120.0000007
SiO2,4.42,mp-546794,463.7814972,219.0772535,49.62163093,4.326498169,2,3.333333333,0,0,6,98.66666667,51.38309277,210.8754051,20.02766667,5.697395038,6.226106985,2.926666667,1.54,0.725962962,15.93,15.11794298,32.07,0.2849218,3,2.106945795,0.006386574,0.002034803,0.008086165,0.002959236,0,-3.284646691,5.7034,Tetragonal,5.138208525,5.139162928,5.138918848,88.54084972,120.8402027,120.8416175
SnO2,14,mp-856,6682.82678,5316.219679,96.31384144,4.248838609,2,3.333333333,3.333333333,0,6,108.3333333,37.71236166,313.9241181,50.236,48.41842973,7.494470778,2.946666667,1.48,0.697678691,17.62666667,17.51739199,37.16,0.4800778,3,6.60886696,0.005598832,0.002097642,0.007370219,0.002232171,0,-2.124798814,0.6519,Tetragonal,3.24322132,4.82933499,4.83533691,90,90,90
SnSb,147,mp-10635,6960.058763,5285.280594,0,4.186967176,2,2.5,10,0,2,65.5,10.5,290.7314495,120.235,1.525,60.10782884,2.005,0.09,0.045,42.3,0.1,0.2,0.8271207,2,6.752743184,0.000804709,1.35E-05,0.000821295,0.000788193,0.008763365,0.008763365,0,Cubic,4.373021133,4.373021131,4.37302113,59.99999993,59.99999994,59.99999999
SrCO3,8.85,mp-3822,4216.53053,2807.313003,2804.975003,2.041611794,2,2.8,0,0,20,103,55.88917605,128.1958099,29.5256,29.08823558,3.543816504,2.764,2.49,0.970290678,44.45,71.02230804,180.76,1.1515821,5,3.635955523,0.008051739,0.003158764,0.010718037,0.001702836,0,-2.715620141,4.4254,Orthorhombic,5.16318577,6.1369109,8.51126874,90,90,90
SrF2,6.465,mp-981,3105.668896,112.9851308,69.9158472,2.274553354,2,3.333333333,0,0,3,125,4.949747468,121.8544172,41.87226878,32.34853097,8.570087367,2.97,3.03,1.428355698,64.46666667,85.93704414,182.3,1.0308761,3,4.133835294,0.005783949,0.003127018,0.008453938,0.001095004,0,-4.253620554,6.7493,Cubic,4.147816604,4.1478166,4.1478166,60,60.00000003,59.99999994
SrMoO4,31.7,mp-18834,4942.522343,3511.410388,2985.459292,1.97143671,1.833333333,2.666666667,0.833333333,0,12,121.1666667,24.14136607,180.4088965,41.261,35.80669904,3.678490509,2.811666667,2.49,0.954784734,46.57666667,67.01463165,180.76,1.3722494,6,4.474010691,0.008010605,0.003162829,0.010520007,0.001671374,0,-2.736990001,3.8051,Tetragonal,5.487987093,5.488469413,7.230398864,112.3040844,112.3040455,89.99075833
Sr(NO3)2,5.33,mp-4157,4122.13496,2841.459774,2841.459774,2.01439128,2,3.333333333,0,0,36,135.5555556,7.661028523,161.0134164,23.51422222,22.67940006,1.889565806,3.074444444,2.49,0.768651216,25.84888889,56.6301648,180.76,1.3143501,9,2.83099145,0.012350994,0.00345569,0.0146781,0.002331993,0,-1.669769042,3.7142,Cubic,7.91861275,7.91861275,7.91861275,90,90,90
Sr2Nb2O7,39,mp-15590,11365.21239,5820.154468,5390.894927,1.347836712,1.818181818,2.545454545,0.727272727,0,88,120.4545455,23.71943444,168.8038534,43.00415818,35.76000578,2.07520444,2.652727273,2.49,1.059743459,56.42545455,71.87998335,180.76,2.8023397,11,4.961318698,0.010119367,0.004459698,0.014006203,0.002225245,0,-3.315787068,2.7521,Orthorhombic,5.80353835,7.97143494,27.37904409,90,90,90
SrO,13.3,mp-2472,3098.013091,69.00727809,0,1.979034338,2,2,0,0,2,126.5,8.5,101.4579458,51.8095,35.8105,13.52871944,2.195,2.49,1.245,95.62,90.38,180.76,1.0213,2,4.877525362,0.002797183,0.001959371,0.00548558,0.000871525,0,-3.093705876,3.2748,Cubic,3.681305543,3.681305542,3.68130554,60.00000002,60.00000003,60.00000006
SrS,9.4,mp-1087,3108.288468,373.2386471,0,1.826750046,2,2,0,0,2,151,33,99.84351065,59.84,27.78,23.47173463,1.765,1.63,0.815,105.465,80.535,161.07,1.1986758,2,3.566052971,0.001213847,0.000486772,0.001845944,0.000661661,0,-2.482368167,2.497,Cubic,4.287511824,4.287511818,4.28751182,59.99999999,60.00000003,60.00000002
SrSO4,11.5,mp-5285,4332.318074,2798.499454,2780.978636,2.01886937,2,3.333333333,0,0,24,140.3333333,20.49119052,140.36865,30.61266667,26.16030021,3.417400692,2.881666667,2.49,0.919173844,38.64833333,66.28872866,180.76,1.3085258,6,3.796933086,0.008445094,0.003175772,0.010914477,0.001734045,0,-2.811970852,5.9094,Orthorhombic,5.45618356,6.96675686,8.45326529,90,90,90
SrTiO3,41.6,mp-4651,3609.194751,2726.724939,929.0412738,1.855702471,2,2.4,0.4,0,10,121.8,19.07249328,131.6356899,36.6968,28.29537927,4.549262313,2.562,2.49,1.091391772,63.212,74.52948904,180.76,1.3938773,5,4.972060889,0.006489669,0.003087285,0.009459766,0.001502927,0,-3.569373983,1.8488,Tetragonal,5.567728408,5.567728405,5.579460693,119.9304655,119.9304655,89.99999999
SrWO4,25.7,mp-19163,16870.55631,13982.64842,3336.684858,2.353605875,2,2.666666667,0.666666667,2.333333333,12,120.6666667,25.22344588,242.3798216,55.90933333,62.90622741,3.747170071,2.735,2.49,1.02025732,46.99333333,67.18207863,180.76,1.3840096,6,6.042813862,0.007865585,0.003201012,0.010423154,0.001655986,0,-2.75130082,4.6571,Tetragonal,5.52200959,5.522355873,7.197284548,112.5652819,112.5532103,90.00331016
Ta2O5,24,mp-10390,19440.97423,13493.3548,13282.39944,3.48705342,2,2.857142857,0.857142857,4,14,117,28.46049894,553.1224031,63.12725143,74.51630833,3.090498076,2.885714286,1.94,0.876402666,28.88571429,37.38715702,82.76,0.7989023,7,8.433247774,0.009211143,0.003108972,0.011477218,0.003306208,0.007567819,-3.347980731,1.2267,Monoclinic,4.929963372,5.59861805,6.928421739,102.2912839,110.8411484,90.00000001
ThO2,18.9,mp-643,24506.38007,89.12083151,50.7394734,8.533849173,1.333333333,2.666666667,0,0,3,135,0,582.5762403,15.999,0,7.9995,3.44,0,0,5.24,0,0,0.054925,3,9.882024501,0.007133776,0,0.007133776,0.007133776,0,-4.386555641,4.417,Cubic,3.973692257,3.973692257,3.97369226,59.99999998,59.99999997,59.99999994
TiO2,44.1,mp-554278,1423.363294,705.2443182,686.3179128,3.783477612,2,2.666666667,0.666666667,0,12,118.6666667,23.09882152,214.3582016,26.62166667,15.02271927,6.854055051,2.806666667,1.9,0.89566859,41.60666667,51.43023322,109.1,0.3725773,3,3.615938926,0.005878425,0.002178551,0.007706853,0.002280102,0,-3.518493931,2.6774,Monoclinic,3.76693666,6.435368123,6.616212582,106.1821843,90,107.0181442
Ti2O3,44.95,mp-458,1445.752136,722.8500211,686.5970404,2.691736781,2,2.4,0.8,0,10,115.4,24.00499948,200.2683323,28.7462,15.61206782,4.361210104,2.68,1.9,0.930806102,48.88,53.44786619,109.1,0.7176921,5,4.51256814,0.006770043,0.00285066,0.009661562,0.00285841,0,-3.318443193,0,Trigonal,5.526384974,5.526384976,5.526384974,55.11275239,55.11275243,55.11275241
TlBr,30.6,mp-568560,19067.71097,2497.112963,0,5.860667206,2,3,10,7,2,173,23,443.8373625,142.142,62.238,57.44529949,2.38,1.16,0.58,36.75,14.95,29.9,0.6405139,2,6.05575261,0.001060756,0.000287899,0.00143313,0.000731978,0,-0.88567793,2.2965,Cubic,4.794954158,4.794954414,4.79495391,60.00000341,60.00000164,59.99999856
TlCl,33.2,mp-569639,19034.97601,439.2294676,0,5.361974956,2,3,5,7,2,165.5,15.5,405.6057924,119.915,84.465,30.21002794,2.48,1.36,0.68,38.315,13.385,26.77,0.5912884,2,5.716619605,0.001626318,0.00055635,0.00235766,0.001009368,0,-1.312501797,2.5365,Cubic,4.61863026,4.618630453,4.61863046,60.00000788,60.00000655,60.00000132
TlI,21.2,mp-571102,19143.33654,6756.431697,0,5.489649109,2,3,10,7,2,185,35,453.803215,165.642235,38.737765,78.29143207,2.23,0.86,0.43,43.15,8.55,17.1,0.7300179,2,6.050143991,0.000800706,0.000147421,0.000987404,0.000627001,0,-0.68152674,2.2086,Cubic,5.047402621,5.047402597,5.04740202,59.99999665,59.99999676,59.9999935
TlNO3,13.6,mp-5915,28079.90763,18873.84562,18601.27484,3.891676965,2,3.2,2,2.8,40,140.2,6.493073232,403.4425531,53.2768,75.55553899,3.790787339,3.032,1.64,0.635181864,15.004,18.37075241,46.46,0.6602774,5,5.403458585,0.008179128,0.002569265,0.010363016,0.002849446,0,-1.075810798,2.7867,Orthorhombic,6.40636742,8.18021455,12.49699699,90,90,90
Tl2SO4,25.5,mp-4112,29286.5957,18480.34664,18288.07626,3.02114976,2,3.142857143,2.857142857,4,28,146.2857143,16.73076111,383.9691861,72.11657143,83.82676463,3.436510728,2.848571429,1.64,0.72410395,21.32714286,20.33008377,46.46,1.3147305,7,6.427090167,0.007655713,0.003121205,0.010884087,0.002992721,0,-1.78241661,3.7965,Orthorhombic,5.98118433,7.97579446,10.93649062,90,90,90
UO2,24,mp-1597,32855.88951,25143.58649,25132.98136,8.533849173,1.333333333,2.666666667,0,0,15,135,0,582.5762403,15.999,0,7.9995,3.44,0,0,5.24,0,0,0.054925,3,11.25162193,0.007133776,0,0.007133776,0.007133776,0,-3.767052691,0,Cubic,3.834050454,3.825739791,19.18536248,60.09764863,60.00895829,60.07167863
YMnO3,20,mp-19385,5806.818705,3435.653036,2911.888791,2.505037226,2,2.4,1.2,0,30,112.2,28.93717332,214.9718075,38.3681768,29.42704917,4.60910424,2.618,2.22,1.012134378,47.104,58.06837129,147.76,0.8924002,5,4.901927995,0.006675698,0.002836868,0.009398155,0.002043792,0,-3.05003885,0,Hexagonal,6.23302198,6.233021983,11.58909017,90,90,120
Y2O3,10,mp-2652,9285.643972,3124.306217,3124.306216,1.991440349,2,2.4,0.4,0,40,117,22.04540769,186.5666439,45.161736,35.71691135,4.761736297,2.552,2.22,1.087573446,64.344,72.38732088,147.76,1.2103379,5,4.892006167,0.006088736,0.003083729,0.009246305,0.002010769,0,-3.986009229,4.0531,Cubic,9.269841457,9.26984146,9.26984146,109.4712206,109.4712206,109.4712206
ZnS,8.2,mp-10695,1783.764344,358.3860251,0,4.386951922,2,2,5,0,2,122,62,208.3629587,48.72,16.66,21.51152299,2.115,0.93,0.465,31.865,6.935,13.87,0.4676455,2,3.998929486,0.001673557,0.000207846,0.001928215,0.001419098,0,-1.140633007,2.0186,Cubic,3.853922998,3.853922998,3.853923,59.99999998,59.99999998,59.99999999
ZnSe,9.31,mp-1190,2573.997571,1548.880327,0,5.104968957,2,2,10,0,2,129,69,268.7063762,72.1755,6.7955,35.76784352,2.1,0.9,0.45,32.52,6.28,12.56,0.5372072,2,5.064264209,0.001227251,0.000101343,0.001348592,0.001100529,0,-0.711749569,1.1693,Cubic,4.060447342,4.060447347,4.06044735,60.00000006,60.00000002,60.0000001
ZnWO4,16.1,mp-18918,17179.28325,13626.53834,1992.125626,3.780669218,2,2.666666667,2.333333333,2.333333333,12,111,33.98529094,479.6721734,52.20266667,61.56954274,3.693439554,2.851666667,1.79,0.832154166,22.46,26.50019119,69.76,0.6529793,6,7.493223085,0.00830585,0.002727173,0.010498696,0.003402318,0,-2.057465394,3.2609,Monoclinic,4.743209021,5.043090871,5.80555396,90,90,88.67599763
ZrO2,23,mp-2858,5018.275151,3054.838607,3031.643886,3.388401131,2,2.666666667,0.666666667,0,12,109.6666667,35.82674358,265.2645175,41.074,35.46140508,7.354572133,2.736666667,2.11,0.994663539,43.82666667,54.56978733,115.76,0.464525,3,5.563610493,0.005542559,0.002252892,0.007439987,0.001879369,0,-3.832750589,3.4737,Monoclinic,5.233649151,5.2684599,5.418476207,90,100.0548452,90
